,id,description,preproc_description
79,80,"Lw endurance quarter socks - Scraped, taped or inflamed  our ankles suffer in rough country. These endurance socks are made for miles of abusive terrain, with an over-the-ankle fit to frustrate brush and briar. Thin and lightweight, they feature a felted merino wool channel-knit construction for maximum cushioning with the least bulk. An open knit over the top of the foot increases breathability; the looped Lintoe provides chafe-free toe comfort. Made from 40% merino wool (chlorine-free)/25% Coolmax/20% nylon/12% polyester/3% spandex. Height is 6.5"".<br><br><b>Details:</b><ul> <li>Lightweight wool blend strategically knit for excellent breathability and wicking</li> <li>""Full, channel-knit construction under the entire foot provides the most cushioning with the least bulk""</li> <li>Looped Lintoe construction creates the smallest and flattest seam possible for ultimate toe comfort</li> <li>Flex zones at toe for comfort and to prevent bunching</li></ul><br><br><b>Fabric: </b>40% chlorine-free merino wool/25% Coolmax/20% nylon/12% polyester/3% spandex<br><br><b>Weight: </b>(34 g 1.2 oz)<br><br>Made in USA.",lw endurance quarter sock scraped taped inflamed ankle suffer rough country endurance sock made mile abusive terrain over-the-ankle fit frustrate brush briar thin lightweight feature felted merino wool channel-knit construction maximum cushioning least bulk open knit top foot increase breathability looped lintoe provides chafe-free toe comfort made merino wool chlorine-free coolmax/ nylon/ polyester/ spandex height `` .details lightweight wool blend strategically knit excellent breathability wicking `` full channel-knit construction entire foot provides cushioning least bulk '' looped lintoe construction creates smallest flattest seam possible ultimate toe comfort flex zone toe comfort prevent bunchingfabric chlorine-free merino wool/ coolmax/ nylon/ polyester/ spandexweight g oz made usa
80,81,"Lw hiking crew socks - Like suites for your feet, these stay-cool and breathable, multi-use socks feature a variable-knit, felted merino wool construction under the foot to disperse heat and cushion hard knocks. The welt is snug to reduce slipping; an arch band adds support. A combo of fibers improves moisture control and airflow: 62% chlorine-free merino wool/23% nylon/12% polyester/3% spandex. Height is 9.5"".<br><br><b>Details:</b><ul> <li>""Wool blend strategically knit to balance wicking performance, cushioning and durability""</li> <li>""Lightweight, looped construction on footbed and front shin for next-to-skin comfort and shin protection""</li> <li>""Felted wool yarns are chlorine-free, itch-free and offer long-term stability and performance""</li> <li>Looped Lintoe construction creates the smallest and flattest seam possible for ultimate toe comfort</li></ul><br><br><b>Fabric: </b>62% chlorine-free merino wool/23% nylon/12% polyester/3% spandex<br><br><b>Weight: </b>(51 g 1.8 oz)<br><br>Made in USA.",lw hiking crew sock like suite foot stay-cool breathable multi-use sock feature variable-knit felted merino wool construction foot disperse heat cushion hard knock welt snug reduce slipping arch band add support combo fiber improves moisture control airflow chlorine-free merino wool/ nylon/ polyester/ spandex height `` .details `` wool blend strategically knit balance wicking performance cushioning durability '' `` lightweight looped construction footbed front shin next-to-skin comfort shin protection '' `` felted wool yarn chlorine-free itch-free offer long-term stability performance '' looped lintoe construction creates smallest flattest seam possible ultimate toe comfortfabric chlorine-free merino wool/ nylon/ polyester/ spandexweight g oz made usa
81,82,"Lw r4 jkt - High off the deck on Warbonnet Peak in the immaculate Wind River Mountains, the naming of the range quickly makes sense. Our windproof and stretchy Lightweight R4 Jacket protects and warms with a Polartec Windbloc laminate sandwiched between a low-nap polyester microfleece face and a high/low grid polyester interior. Unlaminated R1 underarm panels (60% recycled polyester) enhance breathability and mobility, while a neck gasket seals out the elements. Seamless shoulders allow pack-wearing comfort. With three external pockets (the handwarmers stay clear of your harness), two internal drop-in pockets and a drawcord hem. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Lightweight, durable low-nap microfleece face""</li> <li>Full-stretch Polartec Windbloc laminate</li> <li>R1 interior-grid construction speeds wicking</li> <li>Nonlaminated R1 fabric (made with recycled polyester) under the arms enhances mobility and breathability</li> <li>""Drawcord collar with Supplex stand, protective chin flap for comfort, seamless shoulders for comfort under a pack""</li> <li>Pockets: zippered chest and zippered handwarmers placed above harness-line; two internal drop-in</li> <li>Drawcord waist</li></ul><br><br><b>Fabric: </b>Lightweight R4 shell: 8-oz Polartec Windbloc 100% polyester microfleece laminated to R1 Polartec Power Dry polyester. R1 panels: 6.5-oz Polartec Power Dry 93% polyester (60% recycled)/7% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>510 g (18 oz)<br><br>Made in Colombia.",lw r jkt high deck warbonnet peak immaculate wind river mountain naming range quickly make sense windproof stretchy lightweight r jacket protects warms polartec windbloc laminate sandwiched low-nap polyester microfleece face high/low grid polyester interior unlaminated r underarm panel recycled polyester enhance breathability mobility neck gasket seal element seamless shoulder allow pack-wearing comfort three external pocket handwarmers stay clear harness two internal drop-in pocket drawcord hem recyclable common thread recycling program.details `` lightweight durable low-nap microfleece face '' full-stretch polartec windbloc laminate r interior-grid construction speed wicking nonlaminated r fabric made recycled polyester arm enhances mobility breathability `` drawcord collar supplex stand protective chin flap comfort seamless shoulder comfort pack '' pocket zippered chest zippered handwarmers placed harness-line two internal drop-in drawcord waistfabric lightweight r shell -oz polartec windbloc polyester microfleece laminated r polartec power dry polyester r panel .-oz polartec power dry polyester recycled spandex recyclable common thread recycling programweight g oz made colombia
82,83,"Lw travel duffel - This wanderer's bag is large enough to hold the contents of your life without getting in the way. A large zippered entry to the roomy main compartment makes it easy to toss in a few essentials or stuff it to the max. An exterior side zipper pocket organizes small items; the top pocket holds music in backpack mode or wallet, phone, etc. in duffel mode. Tuckaway backpack straps and fully padded back and bottom panels provide comfort and durability however you use it. Compression straps and a cinch collar secure pretty much anything you want to attach to the outside, and the duffel stows away in its own pocket. Made from strong, extremely lightweight 50-denier triple-ripstop nylon with a polyurethane coating and a DWR (durable water repellent) finish. Reinforced with 150-denier polyester (47% recycled) double-weave ShiftLayer. ,A`~}<br><br><b>Details:</b><ul> <li>Large center-zip main compartment</li> <li>Exterior side zipper pocket organizes small essentials</li> <li>""Top pocket holds music in backpack mode or wallet, phone, etc. in duffel mode""</li> <li>Tuck-away backpack straps</li> <li>Back and bottom padded for comfort and durability</li> <li>""Compression straps and cinch collar hold helmet, shoes, yoga mat, etc.""</li></ul><br><br><b>Fabric: </b>50-denier 100% nylon triple ripstop with polyurethane coating and a DWR (durable water repellent) finish. Reinforcements: 150-denier 100% polyester (47% recycled) double-weave ShiftLayer<br><br><b>Weight: </b>(0 g 0 oz)<br><br>Made in Philippines.",lw travel duffel wanderer 's bag large enough hold content life without getting way large zippered entry roomy main compartment make easy toss essential stuff max exterior side zipper pocket organizes small item top pocket hold music backpack mode wallet phone etc duffel mode tuckaway backpack strap fully padded back bottom panel provide comfort durability however use compression strap cinch collar secure pretty much anything want attach outside duffel stows away pocket made strong extremely lightweight -denier triple-ripstop nylon polyurethane coating dwr durable water repellent finish reinforced -denier polyester recycled double-weave shiftlayer  detail large center-zip main compartment exterior side zipper pocket organizes small essential `` top pocket hold music backpack mode wallet phone etc duffel mode '' tuck-away backpack strap back bottom padded comfort durability `` compression strap cinch collar hold helmet shoe yoga mat etc `` fabric -denier nylon triple ripstop polyurethane coating dwr durable water repellent finish reinforcement -denier polyester recycled double-weave shiftlayerweight g oz made philippine
83,84,"Lw travel pack - In the lifelong search for a place to call home, we all do time on the road. This super-lightweight travel backpack holds everything you need for road trips, hikes or perusing the market, and it stuffs into its own pocket. The main compartment uses a simple drawstring closure to keep gear safe and packed tight. There's also a zippered lid pocket for quick access to smaller items. Exterior mesh pockets hold bottles, shell, gloves, etc. Breathable shoulder straps and a webbing waistbelt distribute the load and keep you comfortable. The lightweight foam back pad can be removed for use as a sitting pad. Made from strong, extremely lightweight 50-denier triple-ripstop nylon with a polyurethane coating and a DWR (durable water repellent) finish. Reinforced with 150-denier polyester (47% recycled) double-weave ShiftLayer.<br><br><b>Details:</b><ul> <li>Main pocket with cinch drawcord to keep gear safe and secured</li> <li>Lid pocket organizes your smaller items for easy access</li> <li>""Exterior mesh pockets hold bottles, shell, etc""</li> <li>Breathable shoulder straps and webbing waistbelt</li> <li>Back pad can be removed for use as a sit pad</li></ul><br><br><b>Fabric: </b>50-denier 100% nylon triple ripstop with polyurethane coating and a DWR (durable water repellent) finish. Reinforcements: 150-denier 100% polyester (47% recycled) double-weave ShiftLayer<br><br><b>Weight: </b>(372 g 12.9 oz)<br><br>Made in Philippines.",lw travel pack lifelong search place call home time road super-lightweight travel backpack hold everything need road trip hike perusing market stuff pocket main compartment us simple drawstring closure keep gear safe packed tight 's also zippered lid pocket quick access smaller item exterior mesh pocket hold bottle shell glove etc breathable shoulder strap webbing waistbelt distribute load keep comfortable lightweight foam back pad removed use sitting pad made strong extremely lightweight -denier triple-ripstop nylon polyurethane coating dwr durable water repellent finish reinforced -denier polyester recycled double-weave shiftlayer.details main pocket cinch drawcord keep gear safe secured lid pocket organizes smaller item easy access `` exterior mesh pocket hold bottle shell etc '' breathable shoulder strap webbing waistbelt back pad removed use sit padfabric -denier nylon triple ripstop polyurethane coating dwr durable water repellent finish reinforcement -denier polyester recycled double-weave shiftlayerweight g oz made philippine
84,85,"M10 jkt - Made for those who thrive on thin and technical climbs in full alpine conditions, the new M10 is a study in minimalism - and our lightest 3-layer hard shell. The soft, pliable waterproof/breathable nylon ripstop fabric yields superb durability for its weight and protects against monsoon-season precip and summit ridge gusts. Details include watertight zippers, a microfleece-lined neck and chin, an exterior zippered left-chest pocket, zippered handwarmer pockets that serve double-duty by extending into pit zips, and cuffs that adjust with hook-and-loop closures. A single pull adjusts the 3-way helmet-compatible hood (with laminated visor) - it's the little things that make life a joy when dealing with wooden fingers, a gloved hand and torrential spindrift. Slim fit for technical use over light-to-medium layers.<br><br><b>Details:</b><ul> <li>3-layer fabric with waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish</li> <li>""Single-pull, 3-way-adjustable helmet-compatible hood with laminated visor""</li> <li>Microfleece-lined neck and chin for comfort and enhanced protection of barrier</li> <li>Watertight zippers for wet-weather performance; zippers on handwarmer pockets extend to pit zips for ventilation</li> <li>Exterior left-chest zippered pocket</li> <li>Self-fabric hook-and-loop cuff closures</li> <li>Drawcord hem</li></ul><br><br><b>Fabric: </b>""3-layer, 2.2-oz 15-denier 100% nylon ripstop with a waterproof/breathable H2No barrier and a Deluge DWR finish""<br><br><b>Weight: </b>306 g (10.8 oz)<br><br>Made in Vietnam.",jkt made thrive thin technical climb full alpine condition new study minimalism lightest -layer hard shell soft pliable waterproof/breathable nylon ripstop fabric yield superb durability weight protects monsoon-season precip summit ridge gust detail include watertight zipper microfleece-lined neck chin exterior zippered left-chest pocket zippered handwarmer pocket serve double-duty extending pit zip cuff adjust hook-and-loop closure single pull adjusts -way helmet-compatible hood laminated visor 's little thing make life joy dealing wooden finger gloved hand torrential spindrift slim fit technical use light-to-medium layers.details -layer fabric waterproof/breathable hno barrier deluge dwr durable water repellent finish `` single-pull -way-adjustable helmet-compatible hood laminated visor '' microfleece-lined neck chin comfort enhanced protection barrier watertight zipper wet-weather performance zipper handwarmer pocket extend pit zip ventilation exterior left-chest zippered pocket self-fabric hook-and-loop cuff closure drawcord hemfabric `` -layer .-oz -denier nylon ripstop waterproof/breathable hno barrier deluge dwr finish '' weight g oz made vietnam
85,86,"M10 pants - Volatile climates don't rule out big adventures, they just call for ingenious techniques - like the time-honored alpine sprint. And, just in case, some bombproof protection: our newest and lightest 3-layer hard shell. The M10's soft, pliable waterproof/breathable nylon ripstop fabric yields superb durability for its weight and protects against monsoon-season precip and summit ridge gusts. The technical pull-on pant has an elasticized, separating waistband with a watertight 2-way zippered fly for hassle-free, harness-wearing functionality; ankle cuffs with shock-cord adjustments, interior webbing tie-down loops and watertight 2-way zippers that extend to the articulated knees; and watertight zippers that close the pockets (right back hip and thigh).<br><br><b>Details:</b><ul> <li>3-layer fabric with a waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish</li> <li>""Elasticized, separating waistband with 2-way watertight zippered fly""</li> <li>Pockets: right thigh and back - both with watertight zippers</li> <li>Articulated knees</li> <li>Shock cord adjustable ankle cuffs with 2-way watertight zipper to the knees</li> <li>Hem cuff features interior webbing tie-down loops</li></ul><br><br><b>Fabric: </b>""3-layer, 2.2-oz 15-denier 100% nylon ripstop with a waterproof/breathable H2No barrier and a Deluge DWR finish""<br><br><b>Weight: </b>(245 g 8.5 oz)<br><br>Made in Vietnam.",pant volatile climate n't rule big adventure call ingenious technique like time-honored alpine sprint case bombproof protection newest lightest -layer hard shell 's soft pliable waterproof/breathable nylon ripstop fabric yield superb durability weight protects monsoon-season precip summit ridge gust technical pull-on pant elasticized separating waistband watertight -way zippered fly hassle-free harness-wearing functionality ankle cuff shock-cord adjustment interior webbing tie-down loop watertight -way zipper extend articulated knee watertight zipper close pocket right back hip thigh .details -layer fabric waterproof/breathable hno barrier deluge dwr durable water repellent finish `` elasticized separating waistband -way watertight zippered fly '' pocket right thigh back watertight zipper articulated knee shock cord adjustable ankle cuff -way watertight zipper knee hem cuff feature interior webbing tie-down loopsfabric `` -layer .-oz -denier nylon ripstop waterproof/breathable hno barrier deluge dwr finish '' weight g oz made vietnam
86,87,"Merino 1 crew - In a day packed with decisions, this one's easy. Worn alone, this versatile long-sleeved crew feels cool and dry against the skin; worn beneath layers in colder locales, it feels soft and warm. Our lightest merino layer, Merino 1 offers great technical performance: naturally resisting odor, moving moisture away from the skin and improving dry times, regulating body temperature, and maintaining a consistent stretch. It's made from a silky-soft yet durable jersey-knit of 63% merino wool wrapped around an all-recycled polyester (37%) core. Wide cuff bands hold sleeves in place, and offset shoulder seams pair nicely with pack straps. We slow-wash our merino for next-to-skin softness. Machine-wash cold; lay flat to dry. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Slow-washed merino wool resists odor naturally, insulates even when wet, is durable, stretches and provides superior performance and softness; 16.5 micron-gauge yarn and jersey-knit construction for luxurious hand""</li> <li>""All- recycled polyester core wicks moisture, while wool next to skin controls odor""</li> <li>Self-fabric collar band</li> <li>Offset shoulder seams for comfort beneath pack straps</li> <li>Wide cuff bands help keep sleeves in place when pulled up</li> <li>Straight hem</li> <li>""Machine-wash cold, lay flat to dry""</li></ul><br><br><b>Fabric: </b>3.2-oz (108-g) 63% 16.5 micron chlorine-free merino wool/37% all-recycled polyester. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>138 g (4.9 oz)<br><br>Made in USA.",merino crew day packed decision one 's easy worn alone versatile long-sleeved crew feel cool dry skin worn beneath layer colder locale feel soft warm lightest merino layer merino offer great technical performance naturally resisting odor moving moisture away skin improving dry time regulating body temperature maintaining consistent stretch 's made silky-soft yet durable jersey-knit merino wool wrapped around all-recycled polyester core wide cuff band hold sleeve place offset shoulder seam pair nicely pack strap slow-wash merino next-to-skin softness machine-wash cold lay flat dry recyclable common thread recycling program.details `` slow-washed merino wool resists odor naturally insulates even wet durable stretch provides superior performance softness micron-gauge yarn jersey-knit construction luxurious hand '' `` all- recycled polyester core wick moisture wool next skin control odor '' self-fabric collar band offset shoulder seam comfort beneath pack strap wide cuff band help keep sleeve place pulled straight hem `` machine-wash cold lay flat dry '' fabric .-oz -g micron chlorine-free merino wool/ all-recycled polyester recyclable common thread recycling programweight g oz made usa
87,88,"Merino 1 t-shirt - The bus ride out of Tlachichuca packs in more bodies than miles. Escape unruffled with the breathable, moisture-wicking qualities of this soft tee. Our lightest merino layer is a silky-soft yet highly durable jersey-knit made with 63% merino wool spun around an all-recycled polyester (37%) core. Super-comfortable on its own in warm temperatures or beneath layers in cooler ones, it offers great technical performance: naturally resisting odor, moving moisture away from the skin and improving dry times, regulating body temperature, and stretching along with you. Offset shoulder seams and a smooth collar band add reassuring comfort for the road-weary. We slow-wash our merino for next-to-skin softness. Machine-wash cold; lay flat to dry. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Slow-washed merino wool resists odor naturally, insulates even when wet, is durable, stretches and provides superior performance and softness""</li> <li>16.5 micron-gauge yarn and jersey-knit construction for luxurious hand</li> <li>""All-recycled polyester core wicks moisture, while wool next to skin controls odor""</li> <li>Self-fabric collar band</li> <li>Offset shoulder seams for comfort beneath pack straps</li> <li>Straight hem</li> <li>""Machine-wash cold, lay flat to dry""</li></ul><br><br><b>Fabric: </b>3.2-oz (108-g) 63% 16.5 micron chlorine-free merino wool/37% all-recycled polyester. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(95 g 3.3 oz)<br><br>Made in USA.",merino t-shirt bus ride tlachichuca pack body mile escape unruffled breathable moisture-wicking quality soft tee lightest merino layer silky-soft yet highly durable jersey-knit made merino wool spun around all-recycled polyester core super-comfortable warm temperature beneath layer cooler one offer great technical performance naturally resisting odor moving moisture away skin improving dry time regulating body temperature stretching along offset shoulder seam smooth collar band add reassuring comfort road-weary slow-wash merino next-to-skin softness machine-wash cold lay flat dry recyclable common thread recycling program.details `` slow-washed merino wool resists odor naturally insulates even wet durable stretch provides superior performance softness '' micron-gauge yarn jersey-knit construction luxurious hand `` all-recycled polyester core wick moisture wool next skin control odor '' self-fabric collar band offset shoulder seam comfort beneath pack strap straight hem `` machine-wash cold lay flat dry '' fabric .-oz -g micron chlorine-free merino wool/ all-recycled polyester recyclable common thread recycling programweight g oz made usa
88,89,"Merino 2 polo - The feel is bohemian, the look should at least get your foot in the door. Designed for an active lifestyle in warm to cool weather, Merino 2 is made from 73% merino wool wrapped around an all-recycled polyester (27%) core for a luxurious hand, an improved dry time and enduring strength. Inherently soft and comfortable, merino naturally resists odor, moves moisture away from the skin, regulates body temperature, and stretches. Features include set-in sleeves and offset shoulder seams that won't chafe beneath pack straps, a soft double-layered collar for comfort and a fully covered zip-neck that feels smooth against the skin. We slow-wash our merino for next-to-skin softness. Machine-wash cold; lay flat to dry. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Slow-washed merino wool resists odor naturally, insulates even when wet, is durable and stretches, provides superior performance and softness dry""</li> <li>18.5 micron-gauge yarn and jersey-knit construction for luxurious hand</li> <li>""All-recycled polyester core wicks moisture, while wool next to skin controls odor""</li> <li>""Double-layer polo collar with stand provides soft, structured comfort at neck""</li> <li>Zipper fully covered for next-to-skin comfort</li> <li>Set-in sleeves and offset shoulder seams for streamlined fit</li> <li>""Machine-wash cold, lay flat to dry""</li></ul><br><br><b>Fabric: </b>4.85-oz (165-g) 73% chlorine-free merino wool/27% all-recycled polyester. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(152 g 5.3 oz)<br><br>Made in USA.",merino polo feel bohemian look least get foot door designed active lifestyle warm cool weather merino made merino wool wrapped around all-recycled polyester core luxurious hand improved dry time enduring strength inherently soft comfortable merino naturally resists odor move moisture away skin regulates body temperature stretch feature include set-in sleeve offset shoulder seam wo n't chafe beneath pack strap soft double-layered collar comfort fully covered zip-neck feel smooth skin slow-wash merino next-to-skin softness machine-wash cold lay flat dry recyclable common thread recycling program.details `` slow-washed merino wool resists odor naturally insulates even wet durable stretch provides superior performance softness dry '' micron-gauge yarn jersey-knit construction luxurious hand `` all-recycled polyester core wick moisture wool next skin control odor '' `` double-layer polo collar stand provides soft structured comfort neck '' zipper fully covered next-to-skin comfort set-in sleeve offset shoulder seam streamlined fit `` machine-wash cold lay flat dry '' fabric .-oz -g chlorine-free merino wool/ all-recycled polyester recyclable common thread recycling programweight g oz made usa
89,90,"Merino 2 t-shirt - Stay calm and collected amid the frenzy of Namche Bazaar in this versatile layer. Designed for an active lifestyle in warm to cool weather, Merino 2 is made from 73% merino wool wrapped around an all-recycled polyester (27%) core for a luxurious hand, an improved dry time and enduring strength. Inherently soft and comfortable, merino naturally resists odor, moves moisture away from the skin, regulates body temperature, and stretches. Features include raglan sleeves and offset side seams that won't chafe beneath pack straps, a self-fabric collar for soft comfort and overlocked seams for a clean aesthetic. We slow-wash our merino for next-to-skin softness. Machine-wash cold; lay flat to dry. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Slow-washed merino wool resists odor naturally, insulates even when wet, is durable and stretches, provides superior performance and softness""</li> <li>18.5 micron-gauge yarn and jersey-knit construction for luxurious hand</li> <li>""All-recycled polyester core wicks moisture, while wool next to skin controls odor""</li> <li>Self-fabric collar band for comfort without binding</li> <li>Raglan sleeve seams won't chafe beneath pack straps</li> <li>Side seams offset to eliminate irritation</li> <li>""Machine-wash cold, lay flat to dry""</li></ul><br><br><b>Fabric: </b>4.85-oz (165-g) 73% chlorine-free merino wool/27% all-recycled polyester. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(141 g 4.9 oz)<br><br>Made in USA.",merino t-shirt stay calm collected amid frenzy namche bazaar versatile layer designed active lifestyle warm cool weather merino made merino wool wrapped around all-recycled polyester core luxurious hand improved dry time enduring strength inherently soft comfortable merino naturally resists odor move moisture away skin regulates body temperature stretch feature include raglan sleeve offset side seam wo n't chafe beneath pack strap self-fabric collar soft comfort overlocked seam clean aesthetic slow-wash merino next-to-skin softness machine-wash cold lay flat dry recyclable common thread recycling program.details `` slow-washed merino wool resists odor naturally insulates even wet durable stretch provides superior performance softness '' micron-gauge yarn jersey-knit construction luxurious hand `` all-recycled polyester core wick moisture wool next skin control odor '' self-fabric collar band comfort without binding raglan sleeve seam wo n't chafe beneath pack strap side seam offset eliminate irritation `` machine-wash cold lay flat dry '' fabric .-oz -g chlorine-free merino wool/ all-recycled polyester recyclable common thread recycling programweight g oz made usa
90,91,"Migration hemp shirt - Summerweight and soft, the Migration represents an inspired merger of 55% durable hemp and 45% plush organic cotton fabrics. Lightweight and cool against the skin, it travels easily between a morning of bouldering and the afternoon commute to Grand Junction. Offset shoulder seams stay smooth under the weight of a courier's bag. Comes with a side-vented straight hem and a button-through chest pocket. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Soft breathable hemp and organic cotton</li> <li>Forward shoulder seams</li> <li>Button-through chest pocket</li> <li>Straight hem with side vents</li></ul><br><br><b>Fabric: </b>4-oz 55% hemp/45% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>223 g (7.9 oz)<br><br>Made in China.",migration hemp shirt summerweight soft migration represents inspired merger durable hemp plush organic cotton fabric lightweight cool skin travel easily morning bouldering afternoon commute grand junction offset shoulder seam stay smooth weight courier 's bag come side-vented straight hem button-through chest pocket recyclable common thread recycling program.details soft breathable hemp organic cotton forward shoulder seam button-through chest pocket straight hem side ventsfabric -oz hemp/ organic cotton recyclable common thread recycling programweight g oz made china
91,92,"Minimalist board shorts-19 in. - The Minimalist is perfectly proportioned - nothing wasted, nothing wanted. Made from light but durable 4.3-oz 100% nylon with a quick-drying DWR finish, these classic 9""""-inseam boardies hit at the knee and don't chafe. The self-draining, zippered side-seam pocket has a key loop, and the single-button fly provides easy entry and stay-on power. Outseam (size 32) is 19"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Recyclable, lightweight nylon is durable, quick-drying""</li> <li>""Flat-lying single-button fly and 3-piece, self-lined waistband contours to hip line""</li> <li>""Self-draining, side-seam zip pocket with a secure zip, and internal key loop""</li> <li>Forward inseam at crotch eliminates chafing</li> <li>""Inseam is 9""""; outseam is 19""""""</li> <li>Now available in size 29</li></ul><br><br><b>Fabric: </b>4.3-oz 100% nylon with DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(173 g 6 oz)<br><br>Made in Thailand.",minimalist board shorts- minimalist perfectly proportioned nothing wasted nothing wanted made light durable .-oz nylon quick-drying dwr finish classic `` '' -inseam boardies hit knee n't chafe self-draining zippered side-seam pocket key loop single-button fly provides easy entry stay-on power outseam size `` recyclable common thread recycling program.details `` recyclable lightweight nylon durable quick-drying '' `` flat-lying single-button fly -piece self-lined waistband contour hip line '' `` self-draining side-seam zip pocket secure zip internal key loop '' forward inseam crotch eliminates chafing `` inseam `` '' outseam `` '' '' available size fabric .-oz nylon dwr durable water repellent finish recyclable common thread recycling programweight g oz made thailand
92,93,"Minimass - The Mini Mass's lesser size lets you thread narrow streets and airplane aisles without leaving chaos in your wake. This less-is-more bag has a main padded compartment with mesh organizational sleeves for pens and a phone, and a front catch pocket that's divided for further organization. A large front flap includes a stealthy zip pocket for quick-grab essentials and a reflective strip for after-hours visibility. The clean shoulder strap adjusts easily so you can sling the Mini over your head when bicycle commuting. Made from a lightweight yet tough 600-denier all-recycled polyester exterior and a slick 200-denier polyester liner; both are coated with polyurethane and a DWR (durable water repellent) finish.<br><br><b>Details:</b><ul> <li>Main flap opens to largest compartment containing organization pocket and pen slots</li> <li>Front catch pocket has divider for load control and organization</li> <li>External organizer pocket on the face of the flap for quick-grab items</li> <li>Adjustable shoulder strap</li> <li>Reflective strip improves visibility in low light</li></ul><br><br><b>Fabric: </b>8.4-oz 600-denier 100% all-recycled polyester. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish<br><br><b>Weight: </b>(372 g 12.9 oz)<br><br>Made in Vietnam.",minimass mini mass 's lesser size let thread narrow street airplane aisle without leaving chaos wake less-is-more bag main padded compartment mesh organizational sleeve pen phone front catch pocket 's divided organization large front flap includes stealthy zip pocket quick-grab essential reflective strip after-hours visibility clean shoulder strap adjusts easily sling mini head bicycle commuting made lightweight yet tough -denier all-recycled polyester exterior slick -denier polyester liner coated polyurethane dwr durable water repellent finish.details main flap open largest compartment containing organization pocket pen slot front catch pocket divider load control organization external organizer pocket face flap quick-grab item adjustable shoulder strap reflective strip improves visibility low lightfabric .-oz -denier all-recycled polyester lining .-oz -denier polyester polyurethane coating dwr durable water repellent finishweight g oz made vietnam
